,AllCCS ID,Name,smiles,Formula,Adduct,m/z,CCS,Input
0,AllCCS00000001,4-Methyl-Histidine,CN1C=C(N=C1)CC(C(=O)O)N,C7H11N3O2,[M+H]+,170.0924,133.3,4-Methyl-Histidine
1,AllCCS00000001,4-Methyl-Histidine,CN1C=C(N=C1)CC(C(=O)O)N,C7H11N3O2,[M-H]-,168.0778,138.0,4-Methyl-Histidine
2,AllCCS00000002,3-Iodo-Tyrosine,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,C9H10INO3,[M+H]+,307.9778,159.1,3-Iodo-Tyrosine
3,AllCCS00000002,3-Iodo-Tyrosine,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,C9H10INO3,[M+Na-2H]-,327.9452,148.0,3-Iodo-Tyrosine
4,AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,[M+H]+,227.1139,150.8,Carnosine
5,AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,[M+Na]+,249.0959,154.2,Carnosine
6,AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,[M+Na-2H]-,247.0813,151.1,Carnosine
7,AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,[M+H]+,291.1299,165.8,Argininosuccinic acid
8,AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,[M+Na]+,313.1119,172.2,Argininosuccinic acid
9,AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,[M+Na-2H]-,311.0973,159.6,Argininosuccinic acid
10,AllCCS00000005,Cysteinylglycine,C(C(C(=O)NCC(=O)O)N)S,C5H10N2O3S,[M-H]-,177.0339,131.8,Cysteinylglycine
11,AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,[M+H]+,223.0747,147.3,L-Cystathionine
12,AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,[M+Na]+,245.0567,147.3,L-Cystathionine
13,AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,[M+Na-2H]-,243.0421,144.9,L-Cystathionine
14,AllCCS00000007,Levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,C9H11NO4,[M+H]+,198.0761,147.1,Levodopa
15,AllCCS00000007,Levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,C9H11NO4,[M+Na]+,220.0581,146.9,Levodopa
16,AllCCS00000007,Levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,C9H11NO4,[M-H]-,196.0615,140.3,Levodopa
17,AllCCS00000007,Levodopa,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,C9H11NO4,[M+Na-2H]-,218.0435,142.1,Levodopa
18,AllCCS00000008,Isocitrate,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,C6H8O7,[M+Na]+,215.0163,144.2,Isocitrate
19,AllCCS00000008,Isocitrate,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,C6H8O7,[M+Na-2H]-,213.0017,136.6,Isocitrate
20,AllCCS00000009,L-Anserine,CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,C10H16N4O3,[M+H]+,241.1295,154.6,L-Anserine
21,AllCCS00000009,L-Anserine,CN1C=NC=C1CC(C(=O)O)NC(=O)CCN,C10H16N4O3,[M+Na]+,263.1115,157.7,L-Anserine
22,AllCCS00000010,N6-Acetyl-L-lysine,CC(=O)NCCCCC(C(=O)O)N,C8H16N2O3,[M+H]+,189.1234,142.4,N6-Acetyl-L-lysine
23,AllCCS00000010,N6-Acetyl-L-lysine,CC(=O)NCCCCC(C(=O)O)N,C8H16N2O3,[M-H]-,187.1088,139.8,N6-Acetyl-L-lysine
24,AllCCS00000010,N6-Acetyl-L-lysine,CC(=O)NCCCCC(C(=O)O)N,C8H16N2O3,[M+Na-2H]-,209.0908,139.6,N6-Acetyl-L-lysine
25,AllCCS00000011,Phosphorylcolamine,C(COP(=O)(O)O)N,C2H8NO4P,[M-H]-,140.0118,123.1,Phosphorylcolamine
26,AllCCS00000012,2-Oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,C6H8O5,[M+Na]+,183.0265,137.1,2-Oxoadipic acid
27,AllCCS00000012,2-Oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,C6H8O5,[M-H]-,159.0299,127.0,2-Oxoadipic acid
28,AllCCS00000012,2-Oxoadipic acid,C(CC(=O)C(=O)O)CC(=O)O,C6H8O5,[M+Na-2H]-,181.0119,131.8,2-Oxoadipic acid
29,AllCCS00000013,Levothyroxine,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N,C15H11I4NO4,[M-H]-,775.6794,206.2,Levothyroxine
30,AllCCS00000014,2-Furoylglycine,C1=COC(=C1)C(=O)NCC(=O)O,C7H7NO4,[M-H+2Na]+,214.0088,155.5,2-Furoylglycine
31,AllCCS00000014,2-Furoylglycine,C1=COC(=C1)C(=O)NCC(=O)O,C7H7NO4,[M-H]-,168.0302,134.7,2-Furoylglycine
32,AllCCS00000015,5-Hydroxy-L-lysine,C(CC(C(=O)O)N)C(CN)O,C6H14N2O3,[M+H]+,163.1077,135.1,5-Hydroxy-L-lysine
33,AllCCS00000015,5-Hydroxy-L-lysine,C(CC(C(=O)O)N)C(CN)O,C6H14N2O3,[M+Na]+,185.0897,137.7,5-Hydroxy-L-lysine
34,AllCCS00000015,5-Hydroxy-L-lysine,C(CC(C(=O)O)N)C(CN)O,C6H14N2O3,[M-H]-,161.0931,133.4,5-Hydroxy-L-lysine
35,AllCCS00000016,3-Methylhistidine,CN1C=NC=C1CC(C(=O)O)N,C7H11N3O2,[M+H]+,170.0924,134.5,3-Methylhistidine
36,AllCCS00000016,3-Methylhistidine,CN1C=NC=C1CC(C(=O)O)N,C7H11N3O2,[M+Na]+,192.0744,138.8,3-Methylhistidine
37,AllCCS00000017,DL-2-Aminoadipic acid,C(CC(C(=O)O)N)CC(=O)O,C6H11NO4,[M+H]+,162.0761,135.4,DL-2-Aminoadipic acid
38,AllCCS00000017,DL-2-Aminoadipic acid,C(CC(C(=O)O)N)CC(=O)O,C6H11NO4,[M+Na]+,184.0581,142.2,DL-2-Aminoadipic acid
39,AllCCS00000017,DL-2-Aminoadipic acid,C(CC(C(=O)O)N)CC(=O)O,C6H11NO4,[M-H2O-H]-,142.0509,127.1,DL-2-Aminoadipic acid
40,AllCCS00000017,DL-2-Aminoadipic acid,C(CC(C(=O)O)N)CC(=O)O,C6H11NO4,[M+Na-2H]-,182.0435,132.0,DL-2-Aminoadipic acid
41,AllCCS00000018,N-Acetyl-L-phenylalanine,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,C11H13NO3,[M+Na]+,230.0788,149.8,N-Acetyl-L-phenylalanine
42,AllCCS00000018,N-Acetyl-L-phenylalanine,CC(=O)NC(CC1=CC=CC=C1)C(=O)O,C11H13NO3,[M-H]-,206.0822,146.3,N-Acetyl-L-phenylalanine
43,AllCCS00000019,Creatinine,CN1CC(=O)NC1=N,C4H7N3O,[M+H]+,114.0662,123.4,Creatinine
44,AllCCS00000019,Creatinine,CN1CC(=O)NC1=N,C4H7N3O,[M+Na]+,136.0482,133.0,Creatinine
45,AllCCS00000020,DL-Homocystine,C(CSSCCC(C(=O)O)N)C(C(=O)O)N,C8H16N2O4S2,[M+H]+,269.0624,157.9,DL-Homocystine
46,AllCCS00000020,DL-Homocystine,C(CSSCCC(C(=O)O)N)C(C(=O)O)N,C8H16N2O4S2,[M-H]-,267.0478,151.7,DL-Homocystine
47,AllCCS00000020,DL-Homocystine,C(CSSCCC(C(=O)O)N)C(C(=O)O)N,C8H16N2O4S2,[M+Na-2H]-,289.0298,152.2,DL-Homocystine
48,AllCCS00000021,"3,5-Diiodothyronine",C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I,C15H13I2NO4,[M+H]+,525.9007,198.5,"3,5-Diiodothyronine"
49,AllCCS00000021,"3,5-Diiodothyronine",C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I,C15H13I2NO4,[M+Na]+,547.8827,188.7,"3,5-Diiodothyronine"
50,AllCCS00000021,"3,5-Diiodothyronine",C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I,C15H13I2NO4,[M-H]-,523.8861,186.4,"3,5-Diiodothyronine"
51,AllCCS00000022,Glutaric Acid,C(CC(=O)O)CC(=O)O,C5H8O4,[M-H]-,131.035,121.4,Glutaric Acid
