Adduct,m/z,CCS(Å2),Charge,Instrument,Type,Approach,Calibrant,DOI,Update date,ID
[M+NH4]+,612.5562,263.8,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00103234
[M+NH4]+,860.7702,315.2,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00103540
[M+NH4]+,990.9424,344.8,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00104700
[M+NH4]+,1004.9580,348.0,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00104834
[M+NH4]+,1002.9424,345.4,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00104984
[M+NH4]+,1018.9737,349.5,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00105032
[M+NH4]+,1016.9580,348.5,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00105170
[M+NH4]+,1042.9737,351.5,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00105477
[M+NH4]+,778.6920,299.5,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00106312
[M+NH4]+,806.7233,305.2,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00106317
[M+NH4]+,830.7233,308.5,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00106391
[M+NH4]+,974.9111,340.6,1,Bruker timsTOF Pro,TIMS,Empirical method,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/doi.org/10.1016/j.aca.2022.339886,2022-10-12,AllCCS00108302
[M+CH3COO]-,624.3882,253.6,-1,Agilent 6560 DTIM-QTOF,DTIMS,Multiple-fields,ESI Low Concentration Tuning Mix (Agilent),https://doi.org/10.1021/acs.analchem.6b01728,2021-02-26,AllCCS00109860
