AllCCS ID,Name,Structure,Formula,Type,Adduct,m/z,CCS,Confidence level,AddColumn
AllCCS00000001,4-Methyl-Histidine,CN1C=C(N=C1)CC(C(=O)O)N,C7H11N3O2,Experimental CCS,[M+H]+,170.0924,133.3,1,Cn1cnc(CC(N)C(=O)O)c1
AllCCS00000001,4-Methyl-Histidine,CN1C=C(N=C1)CC(C(=O)O)N,C7H11N3O2,Experimental CCS,[M-H]-,168.0778,138,2,Cn1cnc(CC(N)C(=O)O)c1
AllCCS00000002,3-Iodo-Tyrosine,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,C9H10INO3,Experimental CCS,[M+H]+,307.9778,159.1,3,NC(Cc1ccc(O)c(I)c1)C(=O)O
AllCCS00000002,3-Iodo-Tyrosine,C1=CC(=C(C=C1CC(C(=O)O)N)I)O,C9H10INO3,Experimental CCS,[M+Na-2H]-,327.9452,148,3,NC(Cc1ccc(O)c(I)c1)C(=O)O
AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,Experimental CCS,[M+H]+,227.1139,150.8,2,NCCC(O)=NC(Cc1cnc[nH]1)C(=O)O
AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,Experimental CCS,[M+Na]+,249.0959,154.2,1,NCCC(O)=NC(Cc1cnc[nH]1)C(=O)O
AllCCS00000003,Carnosine,C1=C(NC=N1)CC(C(=O)O)NC(=O)CCN,C9H14N4O3,Experimental CCS,[M+Na-2H]-,247.0813,151.1,3,NCCC(O)=NC(Cc1cnc[nH]1)C(=O)O
AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,Experimental CCS,[M+H]+,291.1299,165.8,2,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,Experimental CCS,[M+Na]+,313.1119,172.2,3,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
AllCCS00000004,Argininosuccinic acid,C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O,C10H18N4O6,Experimental CCS,[M+Na-2H]-,311.0973,159.6,3,N=C(NCCCC(N)C(=O)O)NC(CC(=O)O)C(=O)O
AllCCS00000005,Cysteinylglycine,C(C(C(=O)NCC(=O)O)N)S,C5H10N2O3S,Experimental CCS,[M-H]-,177.0339,131.8,3,NC(CS)C(O)=NCC(=O)O
AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,Experimental CCS,[M+H]+,223.0747,147.3,1,NC(CCSCC(N)C(=O)O)C(=O)O
AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,Experimental CCS,[M+Na]+,245.0567,147.3,1,NC(CCSCC(N)C(=O)O)C(=O)O
AllCCS00000006,L-Cystathionine,C(CSCC(C(=O)O)N)C(C(=O)O)N,C7H14N2O4S,Experimental CCS,[M+Na-2H]-,243.0421,144.9,1,NC(CCSCC(N)C(=O)O)C(=O)O
